location_id;stall_id;id;name;in_stock;in_menu;school_price;public_price;category;kcal;compulsory_options;optional_options;tags;image_url
1;7;28;Guava Juice;TRUE;TRUE;1.6;1.8;4;55;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
1;7;29;Avocado Juice;TRUE;TRUE;1.8;2;4;200;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
1;7;30;Soursop Juice;TRUE;TRUE;1.8;2;4;150;{};{"Options":{"No Ice":{"cost":0.5},"Add Milk":{"cost":0.5}}};;
1;7;31;Vitagen;TRUE;TRUE;0.7;0.8;4;70;{};{};;
1;7;32;Ice Lemon Tea;TRUE;TRUE;1.2;1.3;4;100;{};{};;
1;7;33;Longan;TRUE;TRUE;1.2;1.3;4;100;{};{};;
1;7;34;Luo Han Guo;TRUE;TRUE;1.2;1.3;4;16;{};{};;
1;7;35;Barley;TRUE;TRUE;1.2;1.3;4;54;{};{};;
1;7;36;Grass Jelly;TRUE;TRUE;1.2;1.3;4;55;{};{};;
1;7;37;Chrysanthemum Tea;TRUE;TRUE;1.2;1.3;4;73;{};{};;
1;7;38;Green Bean;TRUE;TRUE;1.2;1.3;4;138;{};{};;
1;7;39;Homemade Soya Bean Drink;TRUE;TRUE;1.2;1.3;4;183;{};{};;
1;7;40;Soya Beancurd;TRUE;TRUE;1.2;1.3;4;83;{};{};;
1;7;41;(Canopy) 500ml Drinking Water;TRUE;TRUE;1;1.1;4;0;{};{};;
1;7;42;Coffee O;TRUE;TRUE;0.6;0.7;4;85;{};{};;
1;7;43;Coffee;TRUE;TRUE;0.7;0.8;4;116;{};{};;
1;7;44;Coffee C;TRUE;TRUE;0.8;0.9;4;103;{};{};;
1;7;45;Coffee O Ice;TRUE;TRUE;0.9;1;4;85;{};{"Options":{"Upsize":{"cost":0.4}}};;
1;7;46;Coffee Ice;TRUE;TRUE;1;1.1;4;116;{};{"Options":{"Upsize":{"cost":0.4}}};;
1;7;47;Coffee C Ice;TRUE;TRUE;1.1;1.2;4;103;{};{"Options":{"Upsize":{"cost":0.4}}};;
1;7;48;Tea O;TRUE;TRUE;0.7;0.8;4;85;{};{};;
1;7;49;Tea;TRUE;TRUE;0.8;0.9;4;116;{};{};;
1;7;50;Tea C;TRUE;TRUE;0.9;1;4;103;{};{};;
1;7;51;Tea O Ice;TRUE;TRUE;1;1.1;4;85;{};{"Options":{"Upsize":{"cost":0.4}}};;
1;7;52;Tea Ice;TRUE;TRUE;1.1;1.2;4;116;{};{"Options":{"Upsize":{"cost":0.4}}};;
1;7;53;Tea C Ice;TRUE;TRUE;1.2;1.3;4;107;{};{"Options":{"Upsize":{"cost":0.4}}};;
1;7;54;Cocoa O;TRUE;TRUE;0.7;0.8;4;95;{};{};;
1;7;55;Cocoa;TRUE;TRUE;0.8;0.9;4;120;{};{};;
1;7;56;Cocoa C;TRUE;TRUE;0.9;1;4;107;{};{};;
1;7;57;Cocoa O Ice;TRUE;TRUE;1;1.1;4;95;{};{"Options":{"Upsize":{"cost":0.5}}};;
1;7;58;Cocoa Ice;TRUE;TRUE;1.1;1.2;4;120;{};{"Options":{"Upsize":{"cost":0.5}}};;
1;7;59;Cocoa C Ice;TRUE;TRUE;1.2;1.3;4;107;{};{"Options":{"Upsize":{"cost":0.5}}};;
1;7;60;Horlick O;TRUE;TRUE;0.7;0.8;4;95;{};{};;
1;7;61;Horlick;TRUE;TRUE;0.8;0.9;4;120;{};{};;
1;7;62;Horlick C;TRUE;TRUE;0.9;1;4;107;{};{};;
1;7;63;Horlick O Ice;TRUE;TRUE;1;1.1;4;95;{};{"Options":{"Upsize":{"cost":0.5}}};;
1;7;64;Horlick Ice;TRUE;TRUE;1.1;1.2;4;120;{};{"Options":{"Upsize":{"cost":0.5}}};;
1;7;65;Horlick C Ice;TRUE;TRUE;1.2;1.3;4;107;{};{"Options":{"Upsize":{"cost":0.5}}};;
1;7;66;Cocoa + Coffee Ice;TRUE;TRUE;1.1;1.2;4;137;{};{"Options":{"Upsize":{"cost":0.5}}};;
1;7;67;Cocoa + Tea Ice;TRUE;TRUE;1.2;1.3;4;138;{};{"Options":{"Upsize":{"cost":0.5}}};;
1;7;68;Cocoa + Horlick Ice;TRUE;TRUE;1.3;1.4;4;148;{};{"Options":{"Upsize":{"cost":0.5}}};;
1;7;69;Cocoa Dinosaur;TRUE;TRUE;2.5;2.8;4;357;{};{"Options":{"Upsize":{"cost":0.5}}};;
1;7;70;Yuan Yang;TRUE;TRUE;0.8;0.9;4;150;{};{};;
1;7;71;Yuan Yang Ice;TRUE;TRUE;1.4;1.5;4;150;{};{"Options":{"Upsize":{"cost":0.4}}};;
1;7;72;Hot Water;TRUE;TRUE;0.2;0.3;4;0;{};{};;
1;7;73;Ice Water;TRUE;TRUE;0.3;0.4;4;0;{};{};;
1;7;74;Chinese Tea;TRUE;TRUE;0.6;0.7;4;0;{};{};;
1;7;75;Tea Halia;TRUE;TRUE;1.1;1.2;4;74;{};{};;
1;7;76;Ginger Water;TRUE;TRUE;0.6;0.7;4;0;{};{};;
1;7;77;Ginger Water Ice;TRUE;TRUE;1;1.1;4;0;{};{"Options":{"Upsize":{"cost":0.5}}};;
1;7;78;Hot Chrysanthemum;TRUE;TRUE;0.6;0.7;4;10;{};{};;
1;7;79;Canned Drinks – 300ml;TRUE;TRUE;1.4;1.5;4;0;{};{};;
1;7;80;Bottled Drinks – 500ml;TRUE;TRUE;1.5;1.6;4;0;{};{};;
1;7;81;Carton Drinks;TRUE;TRUE;1.4;1.5;4;0;{};{};;
1;7;82;Tissue;TRUE;TRUE;0.3;0.4;9;;{};{};;
1;7;83;Set A (Toast Bread + Eggs + Coffee/Tea);TRUE;TRUE;2.5;2.8;1;536;{"Drink":{"Coffee":{"cost":0.0},"Tea":{"cost":0.0}}};{};;
1;7;84;Set B (Apollo Bun + Eggs + Coffee/Tea);TRUE;TRUE;2.8;3;1;448;{"Drink":{"Coffee":{"cost":0.0},"Tea":{"cost":0.0}}};{};;
1;7;85;Set C (Thick Toast + Eggs + Coffee/Tea);TRUE;TRUE;2.8;3;1;455;{"Drink":{"Coffee":{"cost":0.0},"Tea":{"cost":0.0}}};{};;
1;7;86;Set D (Canopy Cream Cracker + Eggs + Coffee/Tea);TRUE;TRUE;2.8;3;1;475;{"Drink":{"Coffee":{"cost":0.0},"Tea":{"cost":0.0}}};{};;
1;7;87;Apollo Bun Bread;TRUE;TRUE;1;1.1;2;186;{};{};;
1;7;88;Half Boiled Omega Egg (2 Pcs);TRUE;TRUE;1.2;1.3;2;73;{};{};;
1;7;89;Normal Half Boiled Egg (2 Pcs);TRUE;TRUE;1;1.1;2;73;{};{};;
1;7;90;Sandwich (Normal/Wholemeal);TRUE;TRUE;1.6;1.8;1;350;{"Bread":{"Normal":{"cost":0.0},"Wholemeal":{"cost":0.0}}};{};;
1;7;91;Toasted Bread (Normal/Wholemeal);TRUE;TRUE;1;1.1;2;137;{"Bread":{"Normal":{"cost":0.0},"Wholemeal":{"cost":0.0}}};{};;
1;7;92;Thick Toast;TRUE;TRUE;1.2;1.3;2;139;{};{};;
1;7;93;Canopy Cream Cracker;TRUE;TRUE;0.7;0.8;2;71;{};{};;
1;7;94;Siew Mai;TRUE;TRUE;0.7;0.8;2;30;{};{};;
1;7;95;Lian Yong Pau;TRUE;TRUE;0.8;0.9;2;200;{};{};;
1;7;96;Small Pau;TRUE;TRUE;0.8;0.9;2;200;{};{};;
1;7;97;Veg Pau;TRUE;TRUE;1;0.1;2;250;{};{};;
1;7;98;Char Siew Pau;TRUE;TRUE;0.8;0.9;2;400;{};{};;
1;7;99;Curry Pau;TRUE;TRUE;0.8;0.9;2;250;{};{};;
1;7;100;Sweet Corn Pau;TRUE;TRUE;0.9;1;2;200;{};{};;
1;7;101;Red Bean Paste Pau (Tau Sar);TRUE;TRUE;0.8;0.9;2;200;{};{};;
1;7;102;Yam Pau;TRUE;TRUE;0.8;0.9;2;200;{};{};;
1;7;103;Chicken Pau;TRUE;TRUE;1.4;1.5;2;250;{};{};;
