location_id,stall_id,id,name,in_stock,school_price,public_price,category,kcal,compulsory_option_1,compulsory_option_2,modifier_1,modifier_1_cost,modifier_2,modifier_2_cost,upsize_1_cost,upsize_2_cost,tags,image_url
1,7,21,Pineapple Juice,,1.4,1.5,4,78,,,"{No Ice, Add Milk}",0.5,,,,,,
1,7,22,Honeydew Juice,,1.4,1.5,4,95,,,"{No Ice, Add Milk}",0.5,,,,,,
1,7,23,Orange Juice,,1.8,2,4,83,,,"{No Ice, Add Milk}",0.5,,,,,,
1,7,24,Apple Juice,,1.8,2,4,100,,,"{No Ice, Add Milk}",0.5,,,,,,
1,7,25,Kiwi Juice,,1.6,1.8,4,98,,,"{No Ice, Add Milk}",0.5,,,,,,
1,7,26,Pear Juice,,1.6,1.8,4,100,,,"{No Ice, Add Milk}",0.5,,,,,,
1,7,27,Carrot Juice,,1.8,2,4,55,,,"{No Ice, Add Milk}",0.5,,,,,,
1,7,28,Guava Juice,,1.6,1.8,4,55,,,"{No Ice, Add Milk}",0.5,,,,,,
1,7,29,Avocado Juice,,1.8,2,4,200,,,"{No Ice, Add Milk}",0.5,,,,,,
1,7,30,Soursop Juice,,1.8,2,4,150,,,"{No Ice, Add Milk}",0.5,,,,,,
1,7,31,Vitagen,,0.7,0.8,4,70,,,,,,,,,,
1,7,32,Ice Lemon Tea,,1.2,1.3,4,100,,,,,,,,,,
1,7,33,Longan,,1.2,1.3,4,100,,,,,,,,,,
1,7,34,Luo Han Guo,,1.2,1.3,4,16,,,,,,,,,,
1,7,35,Barley,,1.2,1.3,4,54,,,,,,,,,,
1,7,36,Grass Jelly,,1.2,1.3,4,55,,,,,,,,,,
1,7,37,Chrysanthemum Tea,,1.2,1.3,4,73,,,,,,,,,,
1,7,38,Green Bean,,1.2,1.3,4,138,,,,,,,,,,
1,7,39,Homemade Soya Bean Drink,,1.2,1.3,4,183,,,,,,,,,,
1,7,40,Soya Beancurd,,1.2,1.3,4,83,,,,,,,,,,
1,7,41,(Canopy) 500ml Drinking Water,,1,1.1,4,0,,,,,,,,,,
1,7,42,Coffee O,,0.6,0.7,4,85,,,,,,,,,,
1,7,43,Coffee,,0.7,0.8,4,116,,,,,,,,,,
1,7,44,Coffee C,,0.8,0.9,4,103,,,,,,,,,,
